id;cargo;correo_inst
1;infrastructures Mobility Representative;Shirt
2;Mobility;Arizona synthesizing Fresh
3;override back-end hacking;open-source
4;payment National;HDD
5;Tanzanian Shilling Lights;e-enable Plaza intranet
6;convergence Idaho customized;synthesize Bahrain
7;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account
8;Belize Dollar Bacon;Investment Account Rwanda Customer
9;Liaison copy program;hack Electronics Oklahoma
10;Cambridgeshire navigate Licensed;Fantastic indexing
